name,official_url,primary_category,secondary_category,pricing_model,platform,short_description,open_source,api_available,last_verified
1MillionResume,https://1millionresume.com/,Presentations and documents,Image generation and editing,Freemium,Web,Online tool that helps users create professional resumes and cover letters through customizable templates and an easy-to-use interface.,false,false,2026-08-18
1min.AI,https://1min.ai/,Automation and agents,Marketing and advertising,Freemium,Web,"AI-driven video creation platform that transforms text into short, engaging videos quickly, featuring automatic voiceovers and customizable templates.",false,false,2026-08-18
1Page,https://get1page.com/,Presentations and documents,,Freemium,Web,"Online resume builder that helps users create professional, ATS-optimized resumes quickly using customizable templates and AI content suggestions.",false,false,2026-08-18
1Password,https://1password.com/,Health and lifestyle,Business and finance,Paid; Free Trial,Web; Windows; macOS; Linux; iOS; Android,"Secure password manager that stores and autofills passwords, manages two-factor authentication, and enables safe sharing for individuals and teams.",false,false,2026-08-18
1photoai,https://1photoai.com/,Image generation and editing,,Freemium,Web,"AI-driven web platform that automates photo retouching, background removal, and image upscaling, designed for professionals and content creators seeking fast, high-quality photo enhancements.",false,false,2026-08-18
2 Weeks AI,https://2weeks.ai/,SEO and search,Automation and agents,Freemium,Web,"AI-driven platform that helps marketers and content creators generate marketing copy, blog posts, and SEO-friendly articles efficiently using customizable templates and advanced AI models.",false,false,2026-08-18
202 QUALITY APPS,https://app.quality.de/guest,Business and finance,Coding and development,Paid,Web,"Web-based quality management software that helps organizations digitize quality assurance, audit management, and compliance processes to improve efficiency and maintain standards.",false,false,2026-08-18
2020 Background Screening,https://www.2020screening.com/,Business and finance,Research and knowledge,Paid,Web,"2020 Background Screening provides detailed employment and tenant background checks, drug testing, and compliance tools to help businesses make informed hiring and leasing decisions.",false,false,2026-08-18
20Paths,https://20paths.com/,Writing and content,Chatbots and assistants,Freemium,Web,Writing assistant that generates multiple creative story paths and content suggestions to help writers overcome writer's block and enhance storytelling.,false,false,2026-08-18
2Captcha,https://2captcha.com/,Automation and agents,Coding and development,Paid,Web; API,"Online service that automates solving CAPTCHAs using a combination of human solvers and machine learning, accessible via API for integration into automation workflows.",false,true,2026-08-18
2Houses,https://www.2houses.com/en/,Customer support,Health and lifestyle,Freemium,Web; iOS; Android,"Co-parenting app that helps separated parents manage custody schedules, expenses, and communication in one secure platform.",false,false,2026-08-18
2Slash,https://2slash.ai/,Research and knowledge,Data and analytics,Freemium,Web,"URL shortening tool that provides branded short links, detailed click analytics, and QR code generation to help marketers and businesses optimize their link sharing and track engagement.",false,false,2026-08-18
2V AI,https://2v.ai/,Automation and agents,Marketing and advertising,Paid,Web,"AI-driven platform that automates video creation from text and images, enabling businesses to produce marketing and social media videos quickly without manual editing.",false,false,2026-08-18
30characters,https://30chars.com/,Marketing and advertising,Writing and content,Freemium,Web,"Writing assistant that helps users create concise and effective short-form content such as headlines, taglines, and social media posts, optimized for character limits and marketing needs.",false,false,2026-08-18
31Memorize,https://31memorize.com/,Education and learning,Research and knowledge,Freemium,Web,AI-driven web platform that provides personalized memory training exercises to improve cognitive function and mental agility.,false,false,2026-08-18
3Commas,https://3commas.io/,Automation and agents,Data and analytics,Freemium,Web; API,"Cryptocurrency trading platform that automates trading strategies through bots, offers portfolio management, and integrates social trading and external signals to optimize crypto investments.",false,true,2026-08-18
3D Aim Trainer,https://www.3daimtrainer.com/,Health and lifestyle,Design and creative,Freemium,Web,"Web-based FPS aiming training tool that helps gamers improve accuracy, reaction time, and mouse control through customizable drills and performance tracking.",false,false,2026-08-18
3D Viewer by ModelViewer,https://modelviewer.dev/,Design and creative,Coding and development,Free,Web,"Open-source web component that allows developers to embed interactive 3D models on websites with support for glTF files, built-in controls, and augmented reality features.",true,false,2026-08-18
3DAiLY,https://3daily.ai/,Design and creative,Video,Freemium,Web,"Web-based AI platform that helps users generate and customize 3D models quickly without advanced skills, suitable for designers, game developers, and content creators.",false,false,2026-08-18
3DF Zephyr,https://www.3dflow.net/,Design and creative,Coding and development,Freemium,Windows,"Windows-based photogrammetry software that automatically reconstructs 3D models from photos, supporting drone mapping and detailed 3D mesh creation.",false,false,2026-08-18
3dlogoai,https://www.3dlogoai.com/,Design and creative,,Paid; Free Trial,Web,"Web platform that generates customizable 3D logos for businesses and individuals, enabling quick and professional branding solutions without design experience.",false,false,2026-08-18
3DPrinterOS,https://www.3dprinteros.com/,Automation and agents,Coding and development,Freemium,Web; API,"Cloud platform that enables remote management, workflow automation, and collaboration for 3D printing operations, supporting multiple printers and integration with CAD tools.",false,true,2026-08-18
3Dthis,https://3dthis.com/,Design and creative,Video,Freemium,Web,"Web-based platform that allows users to create, animate, and customize 3D avatars and models from photos or templates without software installation.",false,false,2026-08-18
3M Health Information Systems,https://3m.com/,Health and lifestyle,Data and analytics,Paid,Web; API,"3M Health Information Systems offers healthcare IT solutions focused on clinical documentation improvement, automated medical coding, and health data analytics to improve patient care and revenue cycle management.",false,true,2026-08-18
42Crunch API Security,https://42crunch.com/,Coding and development,,Paid; Free Trial,Web; API,"API security platform that automates vulnerability detection, OpenAPI validation, and continuous monitoring to protect APIs throughout their lifecycle.",false,true,2026-08-18
4K AI Upscaler - Free AI image tool,https://upscale-image.com/,Video,Image generation and editing,Free,Web,"Free web-based tool that uses AI to increase image resolution up to 4K, improving clarity and detail without quality loss.",false,false,2026-08-18
4oImageAPI.io: Affordable and Reliable 4o Image API,https://4oimageapi.io/,Developer infrastructure and models,Coding and development,Freemium,Web; API,"Cloud-based image processing API that provides affordable and reliable image optimization, resizing, cropping, and format conversion services for developers and businesses.",false,true,2026-08-18
5-Out,https://www.5out.io/,Sales and CRM,Automation and agents,Paid; Free Trial,Web,"AI-driven sales assistant that automates cold email outreach, follow-ups, and lead qualification to help sales teams increase efficiency and conversion rates.",false,false,2026-08-18
500px,https://500px.com/,Marketing and advertising,Image generation and editing,Freemium,Web; iOS; Android,"Photography platform that allows photographers to share, showcase, and license their photos globally, offering portfolio tools and community engagement.",false,false,2026-08-18
6 River Systems,https://6river.com/,Customer support,Business and finance,Paid,Web,"6 River Systems offers collaborative mobile robots and cloud software that assist warehouse workers in order fulfillment, improving accuracy and efficiency.",false,false,2026-08-18
60sec.site,https://60sec.site/,Coding and development,Marketing and advertising,Freemium,Web,Web tool that enables users to create and publish minimalist websites or landing pages in about 60 seconds without any coding skills.,false,false,2026-08-18
7 Cups,https://www.7cups.com/,Health and lifestyle,"Audio, music, and voice",Freemium,Web; iOS; Android,Online platform providing free anonymous emotional support via trained volunteer listeners and paid professional therapy sessions to help users manage mental health challenges.,false,false,2026-08-18
750 Words,https://750words.com/,Writing and content,,Paid; Free Trial,Web,"Web-based platform that encourages users to write 750 words daily to build a consistent writing habit, offering a distraction-free interface and progress tracking.",false,false,2026-08-18
7Assets,https://7assets.app/,Research and knowledge,Data and analytics,Freemium,Web,"Cloud-based asset management tool designed to help businesses track, maintain, and audit physical assets efficiently through web and mobile platforms.",false,false,2026-08-18
8i,https://8i.com/,Video,Image generation and editing,Paid,Web,Platform that creates photorealistic 3D holograms and avatars using volumetric video technology for VR and AR experiences.,false,false,2026-08-18
8x8,https://www.8x8.com/,Customer support,Video,Paid; Free Trial,Web; iOS; Android,"Cloud-based unified communications platform providing VoIP phone systems, AI-powered contact center solutions, video conferencing, and team messaging to businesses worldwide.",false,false,2026-08-18
99designs,https://99designs.com/,Design and creative,Marketing and advertising,Freemium,Web,"Online platform that allows businesses to run design contests or hire freelance designers directly to create custom logos, branding, websites, and marketing materials.",false,false,2026-08-18
> godcast,https://usegodcast.com/,"Audio, music, and voice",Writing and content,Paid; Free Trial,Web,"Platform that converts text scripts into natural-sounding podcast episodes, enabling fast and easy audio content creation without recording equipment.",false,false,2026-08-18
@imagetotext.me,https://imagetotext.me/,Image generation and editing,Chatbots and assistants,Free,Web,"Free web-based OCR tool that extracts text from images quickly and without registration, supporting common image formats like JPG and PNG.",false,false,2026-08-18
A.V. Mapping,https://avmapping.co/,Coding and development,"Audio, music, and voice",Freemium,Web,Software platform that enables users to create and manage complex audio-visual projection mapping projects with real-time synchronization and interactive features.,false,false,2026-08-18
A1 Art,https://a1.art/,Image generation and editing,,Freemium,Web,"Web-based AI image generator that creates digital artwork from text prompts, offering free and subscription plans for users.",false,false,2026-08-18
A11YBoost,https://a11yboost.com/,Research and knowledge,Automation and agents,Paid; Free Trial,Web,"Web-based tool that automates accessibility testing by scanning websites for WCAG compliance issues, generating detailed reports, and offering remediation guidance to improve web accessibility.",false,false,2026-08-18
aabo,https://aabo.in/,SEO and search,Health and lifestyle,Freemium,Web,"Writing assistant from India that helps users generate SEO-optimized, original content using AI-powered templates and keyword integration.",false,false,2026-08-18
Aaptiv,https://aaptiv.com/,Health and lifestyle,"Audio, music, and voice",Paid,Web; iOS; Android,"Subscription-based fitness app providing AI-personalized audio workouts and training plans led by certified trainers, designed for flexible, screen-free exercise.",false,false,2026-08-18
aasaan,https://admin.aasaan.app/,Research and knowledge,Data and analytics,Freemium,Web,"No-code admin panel builder that enables users to create customizable backend dashboards for web applications without coding, featuring drag-and-drop design, data integration, and role-based access control.",false,false,2026-08-18
Aave,https://aave.com/,Business and finance,Data and analytics,Free,Web; API,"Decentralized finance protocol that allows users to lend and borrow cryptocurrencies without intermediaries, featuring flash loans and community governance.",false,true,2026-08-18
ABBYY FineReader,https://www.abbyy.com/,Presentations and documents,Writing and content,Paid,Windows; macOS,"Desktop OCR and PDF editing software that converts scanned documents and images into editable and searchable formats, supporting over 190 languages and offering features like document comparison and batch processing.",false,false,2026-08-18
Abide,https://abide.com/,Health and lifestyle,"Audio, music, and voice",Freemium,Web; iOS; Android,"AI-driven Christian meditation app providing personalized guided prayers, Bible readings, and mindfulness meditations to support spiritual growth and mental wellness.",false,false,2026-08-18
Able2Extract,https://www.investintech.com/,Presentations and documents,,Paid; Free Trial,Windows; macOS; Linux,"PDF converter and editor software that enables accurate conversion of PDFs to editable formats, direct PDF editing, batch processing, and secure form filling, available on Windows, Mac, and Linux.",false,false,2026-08-18
About.me,https://about.me/,Marketing and advertising,,Freemium,Web,"Web-based platform that lets individuals create a simple, customizable personal profile page to showcase their biography, social media links, and contact information, serving as a digital business card or portfolio.",false,false,2026-08-18
Abstract,https://www.abstract.com/,Coding and development,,Freemium,Web,"Design collaboration platform that provides version control and workflow management tailored for design teams, integrating with tools like Sketch and Adobe XD.",false,false,2026-08-18
Abun,https://abun.com/,Productivity and workflow,Writing and content,Freemium,Web,"Writing assistant that helps users generate and improve content efficiently across multiple formats including blogs, emails, and social media posts.",false,false,2026-08-18
Academia.edu,https://www.academia.edu/,Research and knowledge,Marketing and advertising,Freemium,Web; iOS; Android,"Academic social networking platform that enables researchers to share papers, discover research, and connect with peers globally.",false,false,2026-08-18
AcademicGPT,https://academicgpt.net/,Research and knowledge,Writing and content,Freemium,Web,"Writing assistant designed to help students and researchers write, edit, and format academic papers efficiently.",false,false,2026-08-18
Acapella Extractor,https://www.acapella-extractor.com/en/,"Audio, music, and voice",,Freemium,Web,"AI-based web tool that isolates vocals and instrumentals from audio tracks, enabling users to create acapellas, instrumentals, and karaoke versions quickly and easily.",false,false,2026-08-18
Accent Guesser,https://accentguesser.ai/,Education and learning,Research and knowledge,Free,Web,Free online AI tool that identifies English accents from voice recordings by analyzing speech patterns and matching them to known regional accents.,false,false,2026-08-18
accent-technologies.com,https://accent-technologies.com/,Sales and CRM,Education and learning,Paid,Web,"Accent Technologies provides AI-driven business automation and analytics solutions tailored to enterprise needs, enabling process automation, data insights, and predictive modeling.",false,false,2026-08-18
Accenture,https://www.accenture.com/de-de,Data and analytics,Chatbots and assistants,Paid,Web; API,"Global professional services company offering consulting, technology, and digital transformation services to help businesses innovate and improve operations.",false,true,2026-08-18
AccessiBe,https://accessibe.com/,Customer support,Automation and agents,Paid,Web; API,"AI-based web accessibility solution that automates compliance with ADA and WCAG standards by scanning, remediating, and continuously monitoring websites to ensure accessibility for users with disabilities.",false,true,2026-08-18
Accha FM,https://acchafm.com/,"Audio, music, and voice",Chatbots and assistants,Freemium,Web,Online platform that enables users to broadcast live radio shows and host podcasts with multilingual support and community features.,false,false,2026-08-18
Accio,https://www.accio.com/,Design and creative,Productivity and workflow,Paid; Free Trial,Web,"Writing assistant that helps users generate, edit, and improve written content efficiently through a web-based platform.",false,false,2026-08-18
Accountable2You,https://accountable2you.com/,Health and lifestyle,,Paid,Web; Windows; macOS; iOS; Android,"Parental control and accountability software that helps families and individuals monitor device usage, receive alerts on risky content, and manage screen time across multiple platforms.",false,false,2026-08-18
AccountingSolverAI,https://accountingsolver.com/,Business and finance,Automation and agents,Freemium,Web; API,"Accounting software that automates bookkeeping, invoice processing, and financial reporting to help businesses reduce manual work and improve accuracy.",false,true,2026-08-18
AccurateScribe.ai,https://accuratescribe.ai/,"Audio, music, and voice",Writing and content,Freemium,Web,"Transcription tool that converts audio and video files into accurate text transcripts quickly, featuring speaker identification and easy editing.",false,false,2026-08-18
AccuWeather API,https://developer.accuweather.com/home,Coding and development,,Freemium,Web; API,"AccuWeather API provides developers with accurate, real-time and forecast weather data globally via RESTful endpoints, supporting JSON and XML formats for easy integration.",false,true,2026-08-18
Ace Interview - AI Interview Assistant,https://aceinterview.co/,Chatbots and assistants,,Freemium,Web,"AI-driven platform that helps job seekers practice mock interviews, receive personalized feedback, and improve their interview skills to increase their chances of landing a job.",false,false,2026-08-18
Ace It,https://aceit.works/,Productivity and workflow,Writing and content,Freemium,Web,Writing assistant that provides real-time grammar and style corrections along with content suggestions to help users create and edit text efficiently.,false,false,2026-08-18
Acedit AI,https://www.acedit.ai/,Automation and agents,Video,Freemium,Web,"Web-based video editing platform that uses artificial intelligence to automatically edit and trim videos, making video production faster and easier for creators and marketers.",false,false,2026-08-18
AceEssay,https://aceessay.ai/en,Research and knowledge,Writing and content,Freemium,Web,"Writing assistant that generates essays and academic papers based on user prompts, offering grammar correction and content rewriting features.",false,false,2026-08-18
Aceify.ai,https://aceify.ai/,Education and learning,Research and knowledge,Freemium,Web,"Study assistant that helps students automate note-taking, generate flashcards, and plan study schedules to improve learning efficiency.",false,false,2026-08-18
Achievable - AI adaptive learning,https://achievable.me/,Education and learning,,Paid; Free Trial,Web,"Adaptive learning platform that personalizes study plans for professional exam preparation and skill development, optimizing learning efficiency through tailored content and progress tracking.",false,false,2026-08-18
Acon Digital DeNoise,https://acondigital.com/,"Audio, music, and voice",,Paid; Free Trial,Windows; macOS,"Professional audio noise reduction tool that removes unwanted background noise from recordings using adaptive algorithms, available as standalone software and plugins for Windows and macOS.",false,false,2026-08-18
Acrolinx,https://www.acrolinx.com/,Marketing and advertising,Writing and content,Paid,Web; API,"AI-driven content governance platform that helps enterprises create consistent, clear, and compliant content by analyzing and guiding writing according to brand and linguistic rules.",false,true,2026-08-18
Acronis Cyber Backup,https://www.acronis.com/en/,Coding and development,Chatbots and assistants,Paid; Free Trial,Web; Windows; macOS; Linux,"Data protection platform offering automated backups, AI-based ransomware protection, and disaster recovery for physical, virtual, and cloud environments.",false,false,2026-08-18
Actility ThingPark,https://www.actility.com/,Data and analytics,Chatbots and assistants,Paid,Web; API,Enterprise-grade IoT platform that enables large-scale deployment and management of LoRaWAN networks for industrial and smart city applications.,false,true,2026-08-18
Actimate,https://www.actimate.io/,Automation and agents,Productivity and workflow,Paid; Free Trial,Web; API,"No-code AI automation platform that enables businesses to automate workflows, integrate multiple applications, and optimize operations efficiently.",false,true,2026-08-18
Action Figure,https://actionfigure.pro/,Automation and agents,Marketing and advertising,Paid; Free Trial,Web,"Writing assistant designed to help users create marketing copy, blog posts, and SEO-optimized content efficiently through an intuitive web platform.",false,false,2026-08-18
Action Network,https://actionnetwork.org/,Marketing and advertising,,Free,Web,"Free digital organizing platform designed for progressive activists and nonprofits to manage petitions, fundraising, email and SMS outreach, and events.",false,false,2026-08-18
Actionize AI,https://actionize.ai/,Sales and CRM,Automation and agents,Paid,Web; API,"Sales automation platform that automates personalized outreach, lead qualification, and customer engagement to help sales teams increase efficiency and close deals faster.",false,true,2026-08-18
Activazon,https://activazon.com/,Sales and CRM,Business and finance,Paid; Free Trial,Web,"Amazon product research tool that helps sellers discover profitable products, analyze competitors, and track sales trends to optimize their Amazon business.",false,false,2026-08-18
ActiveCampaign AI,https://www.activecampaign.com/,Sales and CRM,Automation and agents,Paid; Free Trial,Web; API,"Marketing automation platform that integrates AI-powered email marketing, CRM, and sales automation to help businesses personalize customer experiences and optimize campaigns.",false,true,2026-08-18
activeig.com,https://activeig.com/,Automation and agents,Marketing and advertising,Freemium,Web,"Web-based Instagram growth tool that automates targeted likes, follows, and comments to help users gain real followers and increase engagement organically.",false,false,2026-08-18
Acuity Scheduling,https://acuityscheduling.com/,Productivity and workflow,Marketing and advertising,Paid; Free Trial,Web; iOS; Android,"Online appointment booking software that enables businesses to automate scheduling, send reminders, accept payments, and sync calendars to streamline client bookings.",false,false,2026-08-18
Ad Mocker,https://admocker.com/,Design and creative,Marketing and advertising,Free,Web,Free web-based tool that helps marketers and designers create realistic ad mockups quickly without needing advanced design software.,false,false,2026-08-18
ad:personam Self Serve DSP,https://www.adpersonam.io/,Marketing and advertising,Chatbots and assistants,Paid,Web,Programmatic advertising platform that enables advertisers to independently create and optimize real-time bidding campaigns across multiple ad exchanges with granular audience targeting and performance analytics.,false,false,2026-08-18
Adaapt,https://www.adaapt.ai/,Education and learning,,Paid,Web,"AI-driven adaptive learning platform that personalizes educational content and assessments to individual learner needs, enhancing engagement and outcomes.",false,false,2026-08-18
Adalo,https://www.adalo.com/,Coding and development,,Freemium,Web,"No-code platform that lets you create mobile and web applications visually without programming, supporting native app publishing and database integration.",false,false,2026-08-18
ADAM,https://interval-ai.com/,Productivity and workflow,Writing and content,Paid; Free Trial,Web; API,"Meeting assistant that transcribes meetings, generates summaries, and extracts action items to improve team productivity.",false,true,2026-08-18
Adaptify,https://adaptify.ai/,Automation and agents,Marketing and advertising,Paid,Web,"Marketing platform that enables businesses to create personalized, adaptive campaigns by analyzing customer data and behavior in real time.",false,false,2026-08-18
Adaptiv Me,https://www.adaptiv.me/,Automation and agents,Image generation and editing,Freemium,Web; API,"Chatbot platform that enables businesses to create personalized conversational experiences for customer engagement, lead generation, and support automation.",false,true,2026-08-18
AdAstra,https://1trillionclub.com/?linkId=lp_771356&sourceId=creati-ai-chen&tenantId=1-trillion-club,Automation and agents,Productivity and workflow,Freemium,Web,"Writing assistant designed to help marketers and content creators generate marketing copy, blog posts, emails, and product descriptions quickly and efficiently.",false,false,2026-08-18
Addepar,https://addepar.com/,Business and finance,Data and analytics,Paid,Web; API,"Financial technology platform that aggregates and analyzes complex investment portfolios, providing wealth managers and advisors with customizable reporting and client communication tools.",false,true,2026-08-18
ADDitude ADHD Test,https://additudemag.com/,Health and lifestyle,Business and finance,Free,Web,"Free online screening tool that helps adults and parents assess potential ADHD symptoms through clinically-informed questionnaires, providing immediate feedback and educational resources.",false,false,2026-08-18
AdeptLR,https://www.adeptlr.com/,Education and learning,Writing and content,Paid,Web,AI-driven corporate learning platform that personalizes employee training and manages compliance efficiently.,false,false,2026-08-18
Adext AI,https://adext.com/,Automation and agents,Marketing and advertising,Freemium,Web,AI-driven platform that automates digital ad campaign management by optimizing audience targeting and budget allocation across platforms like Google and Facebook to maximize advertising ROI.,false,false,2026-08-18
ADfixer,https://adfixer.com/,Automation and agents,Marketing and advertising,Paid,Web,AI-driven ad optimization platform that automates bid and budget management across multiple advertising platforms to improve campaign performance and ROI.,false,false,2026-08-18
adfonic.com,https://www.adfonic.com/,Research and knowledge,Data and analytics,Paid,Web; API,"UK-based mobile advertising platform that provides a demand-side platform (DSP) for programmatic buying of mobile ad inventory, helping app developers monetize and advertisers acquire users through real-time bidding and advanced targeting.",false,true,2026-08-18
AdGen AI,https://www.adgenai.com/,Research and knowledge,Automation and agents,Freemium,Web,"Platform that automates the creation, optimization, and management of digital ads across multiple platforms, helping marketers generate effective ads and improve campaign performance.",false,false,2026-08-18
ADHDtest.ai,https://adhdtest.ai/,Health and lifestyle,Research and knowledge,Free,Web,"Online platform offering a validated ADHD screening test for adults and children, providing quick preliminary results and optional detailed reports to help identify potential ADHD symptoms.",false,false,2026-08-18
Adinspiration,https://adinspiration.com/,Automation and agents,Marketing and advertising,Paid; Free Trial,Web,AI-driven advertising tool that helps marketers create creative ad copy and campaign ideas quickly for multiple platforms.,false,false,2026-08-18
AdIntell,https://adintelli.ai/,Data and analytics,Marketing and advertising,Freemium,Web,"AI-driven advertising intelligence platform that helps marketers monitor competitor ads, analyze creatives, and gain actionable insights to improve their own campaigns.",false,false,2026-08-18
Adjust,https://www.adjust.com/,Data and analytics,Marketing and advertising,Paid,Web; API,"Mobile measurement platform that provides marketers with attribution analytics, fraud prevention, audience segmentation, and cost aggregation to optimize app marketing campaigns.",false,true,2026-08-18
Adlas.io,https://adlas.io/,Education and learning,Developer infrastructure and models,Paid; Free Trial,Web,"Web-based platform that provides tools for annotating images, videos, text, and audio to create labeled datasets essential for training AI models.",false,false,2026-08-18
Admentary,https://www.admentary.com/,Automation and agents,Marketing and advertising,Freemium,Web,"AI-driven tool that generates persuasive ad copy for social media and digital marketing campaigns, helping marketers create effective ads quickly.",false,false,2026-08-18
Adminer,https://adminer.pro/,Data and analytics,Coding and development,Free,Web,"Lightweight, single PHP file database management tool supporting multiple SQL databases, designed for easy deployment and efficient database administration.",false,false,2026-08-18
AdMob,https://admob.google.com/home/,Data and analytics,Marketing and advertising,Free,Web; iOS; Android,"Google AdMob is a free mobile advertising platform by Google that enables app developers to monetize their Android and iOS apps by displaying various ad formats, managing multiple ad networks through mediation, and analyzing ad performance.",false,false,2026-08-18
AdNabu 2.0,https://www.adnabu.com/,Automation and agents,Marketing and advertising,Freemium,Web,"Google Ads automation tool that helps advertisers optimize PPC campaigns by automating bid adjustments, budget allocation, and ad copy testing to improve ROI and reduce manual management.",false,false,2026-08-18
Adobe,https://www.adobe.com/,Image generation and editing,,Freemium,Web; Windows; macOS; iOS; Android; API,"Adobe offers AI tools including Firefly (image generation), Generative Fill in Photoshop, Generative Recolor in Illustrator, and AI editing in Premiere Pro. All outputs are commercially safe and trained on licensed content.",false,true,2026-08-18
Adobe Firefly,https://firefly.adobe.com/,Image generation and editing,,Freemium,Web,"Art generator by Adobe that creates images from text prompts, integrated with Creative Cloud for professional design workflows.",false,false,2026-08-18
Adobe Podcast,https://podcast.adobe.com/,"Audio, music, and voice",Writing and content,Free,Web,"Free web-based AI audio editing tool by Adobe that enhances podcast audio quality with noise reduction, voice enhancement, and automatic transcription.",false,false,2026-08-18
Adola: Voice & Phone Number for your AI,https://adola.ai/,Research and knowledge,Automation and agents,Paid; Free Trial,Web; API,Communication platform providing virtual phone numbers and realistic AI voice calls to automate business phone interactions such as customer support and marketing.,false,true,2026-08-18
AdPlugg,https://www.adplugg.com/,Marketing and advertising,,Freemium,Web; API,"Cloud-based platform that enables users to create, schedule, and manage advertisements across digital signage and online channels with features like multi-location management and campaign analytics.",false,true,2026-08-18
Adpollo,https://adpollo.io/,Automation and agents,Marketing and advertising,Paid; Free Trial,Web,"AI-driven platform that helps marketers create, manage, and optimize Facebook and Instagram ads by generating ad creatives and providing performance analytics.",false,false,2026-08-18
AdRoll,https://www.adroll.com/,Data and analytics,Marketing and advertising,Freemium,Web; API,Digital marketing platform specializing in AI-driven retargeting and cross-channel advertising to help e-commerce and other businesses increase conversions and revenue.,false,true,2026-08-18
ADS4GPTs,https://www.ads4gpts.com/,Automation and agents,Marketing and advertising,Paid; Free Trial,Web,"AI-driven platform that generates persuasive ad copy for multiple advertising platforms, helping marketers create effective campaigns faster.",false,false,2026-08-18
AdScan.ai,https://adscan.ai/,Data and analytics,Marketing and advertising,Freemium,Web,Platform that provides marketers with competitive ad intelligence by aggregating and analyzing digital ads across platforms to optimize campaigns.,false,false,2026-08-18
AdsGency AI MVP,https://adsgency.ai/,Automation and agents,Marketing and advertising,Freemium,Web,AI-driven platform that helps marketers generate and manage ad campaigns by creating tailored ad copy and automating campaign setup across major platforms.,false,false,2026-08-18
AdSpy,https://www.adspy.com/,Data and analytics,Marketing and advertising,Paid,Web,"Ad intelligence platform that helps marketers analyze competitor ads, monitor campaigns in real-time, and gain insights to optimize their own advertising strategies.",false,false,2026-08-18
AdsRapido,https://adsrapido.com/,Automation and agents,Marketing and advertising,Paid; Free Trial,Web,"Web-based tool that automates Facebook ad campaign creation, management, and optimization to save time and improve advertising results.",false,false,2026-08-18
Adstra,https://adstra.ai/,Marketing and advertising,,Freemium,Web,"AI-driven platform that automates the creation, management, and optimization of digital advertising campaigns across multiple platforms to improve efficiency and ROI.",false,false,2026-08-18
Adstronaut,https://www.adstronaut.net/,Design and creative,Marketing and advertising,Freemium,Web,Ad spy tool that helps marketers research and analyze competitor ads on Facebook and Instagram to improve their own campaigns.,false,false,2026-08-18
